,CITATION NUMBER,OFF FROM DATE,OFF TIME,RACE-ORIGIN CODE,CASE PARTY SEX,REASON FOR STOP,RACE KNOWN,VL STREET NAME,MSEARCH Y/N,MSEARCH TYPE,MSEARCH FOUND,latitude,longitude
188,13739268.0,11/20/2015 12:00:00 AM,19:21:00,W,M,1.0,N,12700 BLOCK SOUTH IH35,N,,,30.1170138,-97.8055725
189,13749578.0,03/11/2015 12:00:00 AM,13:55:00,W,F,1.0,N,3300 BLOCK HIGHWAY 71,N,,,30.21507,-97.73168
190,13758711.0,05/18/2015 12:00:00 AM,14:40:00,H,M,1.0,Y,EAST 11TH STREET STREET,N,,,30.2687126,-97.7279638
191,13759748.0,03/19/2015 12:00:00 AM,7:55:00,H,M,1.0,N,2900 BLOCK SOUTH SH 71,N,,,30.2078918,-97.64898799999999
192,13759749.0,04/21/2015 12:00:00 AM,7:14:00,H,M,8.0,N,LAKESHOURE BOULEVARD,N,,,30.2447412,-97.7236384
193,13761501.0,09/15/2015 12:00:00 AM,12:58:00,H,F,1.0,N,MENDOZA DRIVE,N,,,30.27329199999999,-97.6866878
194,13761502.0,10/25/2015 12:00:00 AM,12:54:00,W,M,1.0,N,2400 BLOCK SOUTH 1ST STREET,N,,,30.241997,-97.75971
195,13761503.0,10/26/2015 12:00:00 AM,7:42:00,,F,1.0,N,WILLIAM CANNON DRIVE,N,,,30.2131025,-97.8285985
196,13761504.0,10/31/2015 12:00:00 AM,12:52:00,W,M,1.0,N,2200 BLOCK MANCHACA ROAD,N,,,30.2442865,-97.7813274
197,13762924.0,03/15/2015 12:00:00 AM,17:18:00,W,M,1.0,N,7500 BLOCK MANCHACA ROAD,N,,,30.19614,-97.80982
198,13763981.0,09/17/2015 12:00:00 AM,11:00:00,B,F,1.0,N,12200 BLOCK JOLLYVILLE ROAD,N,,,30.431067,-97.76587
199,13763982.0,09/17/2015 12:00:00 AM,11:55:00,W,M,1.0,N,12200 BLOCK JOLLYVILLE ROAD,N,,,30.431067,-97.76587
200,13763983.0,09/17/2015 12:00:00 AM,12:50:00,W,M,1.0,N,11400 BLOCK JOLLYVILLE ROAD,N,,,30.41291,-97.74778
201,13763984.0,11/19/2015 12:00:00 AM,9:48:00,H,F,1.0,N,1400 BLOCK EAST RUNDBERG LANE,N,,,30.351942,-97.67776
